run,model,n,n_domains,or,ci90_lo,ci90_hi,robust_ci,boot_ci,sesoi,verdict
primary,M1,363028,70090,2.141,1.812,2.53,1.812-2.530,1.813-2.484,1.5,REAL
primary,M2,194714,30442,1.147,1.067,1.239,1.067-1.233,1.074-1.239,1.3,NULL (equivalent)
primary,M3,79162,6923,1.339,1.107,1.629,1.107-1.620,1.108-1.629,1.5,REAL
shuffle,M1,363028,70090,0.907,0.838,0.982,0.838-0.982,0.838-0.982,1.5,
shuffle,M2,194714,30442,1.072,1.031,1.115,1.031-1.115,1.033-1.115,1.3,
shuffle,M3,79162,6923,0.99,0.857,1.139,0.861-1.139,0.857-1.129,1.5,
